Patriots,AFC_East,Chiefs,Chargers,Raiders,Broncos,Falcons,Panthers,Saints,Bucs,Texans,Steelers
Dolphins,AFC_East,Broncos,Raiders,Chiefs,Chargers,Saints,Bucs,Falcons,Panthers,Titans,Ravens
Bills,AFC_East,Broncos,Raiders,Chiefs,Chargers,Saints,Bucs,Falcons,Panthers,Colts,Bengals
Jets,AFC_East,Chiefs,Chargers,Raiders,Broncos,Falcons,Panthers,Saints,Bucs,Jaguars,Browns
Steelers,AFC_North,Jaguars,Titans,Colts,Texans,Packers,Vikings,Bears,Lions,Patriots,Chiefs
Ravens,AFC_North,Colts,Texans,Jaguars,Titans,Bears,Lions,Packers,Vikings,Dolphins,Raiders
Bengals,AFC_North,Colts,Texans,Jaguars,Titans,Bears,Lions,Packers,Vikings,Bills,Broncos
Browns,AFC_North,Jaguars,Titans,Colts,Texans,Packers,Vikings,Bears,Lions,Jets,Chargers
Texans,AFC_South,Steelers,Browns,Ravens,Bengals,Cardinals,49ers,Seahawks,Rams,Raiders,Patriots
Titans,AFC_South,Ravens,Bengals,Steelers,Browns,Rams,Seahawks,Cardinals,49ers,Chiefs,Dolphins
Colts,AFC_South,Steelers,Browns,Ravens,Bengals,Cardinals,49ers,Seahawks,Rams,Broncos,Bills
Jaguars,AFC_South,Ravens,Bengals,Steelers,Browns,Rams,Seahawks,Cardinals,49ers,Chargers,Browns
Chiefs,AFC_West,Dolphins,Bills,Patriots,Jets,Eagles,Redskins,Cowboys,Giants,Steelers,Texans
Raiders,AFC_West,Patriots,Jets,Dolphins,Bills,Cowboys,Giants,Redskins,Eagles,Ravens,Titans
Broncos,AFC_West,Patriots,Jets,Dolphins,Bills,Cowboys,Giants,Redskins,Eagles,Bengals,Colts
Chargers,AFC_West,Dolphins,Bills,Patriots,Jets,Eagles,Redskins,Cowboys,Giants,Browns,Jaguars
Cowboys,NFC_East,Rams,Seahawks,49ers,Cardinals,Chiefs,Chargers,Broncos,Raiders,Packers,Falcons
Giants,NFC_East,Rams,Seahawks,49ers,Cardinals,Chiefs,Chargers,Broncos,Raiders,Lions,Bucs
Redskins,NFC_East,49ers,Cardinals,Rams,Seahawks,Broncos,Raiders,Chiefs,Chargers,Vikings,Saints
Eagles,NFC_East,49ers,Cardinals,Rams,Seahawks,Broncos,Raiders,Chiefs,Chargers,Bears,Panthers
Packers,NFC_North,Saints,Bucs,Falcons,Panthers,Ravens,Bengals,Steelers,Browns,Seahawks,Cowboys
Lions,NFC_North,Falcons,Panthers,Saints,Bucs,Steelers,Browns,Bengals,Ravens,Cardinals,Giants
Vikings,NFC_North,Saints,Bucs,Falcons,Panthers,Ravens,Bengals,Steelers,Browns,Rams,Redskins
Bears,NFC_North,Falcons,Panthers,Saints,Bucs,Steelers,Browns,Bengals,Ravens,49ers,Eagles
Falcons,NFC_South,Packers,Vikings,Bears,Lions,Dolphins,Bills,Patriots,Jets,Cowboys,Seahawks
Bucs,NFC_South,Bears,Lions,Packers,Vikings,Patriots,Jets,Bills,Dolphins,Giants,Cardinals
Saints,NFC_South,Bears,Lions,Packers,Vikings,Patriots,Jets,Bills,Dolphins,Redskins,Rams
Panthers,NFC_South,Packers,Vikings,Bears,Lions,Dolphins,Bills,Patriots,Jets,Eagles,49ers
Seahawks,NFC_West,Redskins,Eagles,Giants,Cowboys,Texans,Colts,Jaguars,Titans,Falcons,Packers
Cardinals,NFC_West,Giants,Cowboys,Eagles,Redskins,Jaguars,Titans,Colts,Texans,Bucs,Lions
Rams,NFC_West,Redskins,Eagles,Giants,Cowboys,Texans,Colts,Jaguars,Titans,Saints,Vikings
49ers,NFC_West,Giants,Cowboys,Eagles,Redskins,Jaguars,Titans,Colts,Texans,Panthers,Bears
